timebin,sid,sequence,use,group
3,12949120,CTcCTcP,0,LH
0,12949120,CTsCTs,1,LH
1,12949120,CTsCTs,0,LH
2,12949120,CTsCTs,0,LH
3,12949120,CTsCTs,0,LH
0,12949120,CTsPC,0,LH
1,12949120,CTsPC,0,LH
2,12949120,CTsPC,0,LH
3,12949120,CTsPC,0,LH
0,12949120,PCTbP,0,LH
1,12949120,PCTbP,0,LH
2,12949120,PCTbP,0,LH
3,12949120,PCTbP,0,LH
0,12949120,PTcC,0,LH
1,12949120,PTcC,0,LH
2,12949120,PTcC,1,LH
3,12949120,PTcC,0,LH
0,12949120,PTcCTc,0,LH
1,12949120,PTcCTc,0,LH
2,12949120,PTcCTc,1,LH
3,12949120,PTcCTc,0,LH
0,12949120,PTsP,1,LH
1,12949120,PTsP,0,LH
2,12949120,PTsP,0,LH
3,12949120,PTsP,0,LH
0,12949120,PTsPC,1,LH
1,12949120,PTsPC,0,LH
2,12949120,PTsPC,0,LH
3,12949120,PTsPC,0,LH
0,12949120,TbPCP,0,LH
1,12949120,TbPCP,0,LH
2,12949120,TbPCP,0,LH
3,12949120,TbPCP,0,LH
0,12949120,TcCPC,0,LH
1,12949120,TcCPC,0,LH
2,12949120,TcCPC,0,LH
3,12949120,TcCPC,0,LH
0,13205111,CPCPCP,0,HH
1,13205111,CPCPCP,0,HH
2,13205111,CPCPCP,0,HH
3,13205111,CPCPCP,0,HH
0,13205111,CPCPCPC,0,HH
1,13205111,CPCPCPC,0,HH
2,13205111,CPCPCPC,0,HH
3,13205111,CPCPCPC,0,HH
0,13205111,CPCTcC,0,HH
1,13205111,CPCTcC,0,HH
2,13205111,CPCTcC,0,HH
3,13205111,CPCTcC,0,HH
0,13205111,CPCTs,0,HH
1,13205111,CPCTs,0,HH
2,13205111,CPCTs,0,HH
3,13205111,CPCTs,0,HH
0,13205111,CPTs,1,HH
1,13205111,CPTs,0,HH
2,13205111,CPTs,0,HH
3,13205111,CPTs,0,HH
0,13205111,CTcCTcP,0,HH
1,13205111,CTcCTcP,0,HH
