timebin,sid,sequence,use,group
1,12235124,CTbC,0,LL
2,12235124,CTbC,0,LL
3,12235124,CTbC,0,LL
0,12235124,CTbP,0,LL
1,12235124,CTbP,0,LL
2,12235124,CTbP,0,LL
3,12235124,CTbP,0,LL
0,12235124,CTbPC,0,LL
1,12235124,CTbPC,0,LL
2,12235124,CTbPC,0,LL
3,12235124,CTbPC,0,LL
0,12235124,CTcPTcP,0,LL
1,12235124,CTcPTcP,0,LL
2,12235124,CTcPTcP,0,LL
3,12235124,CTcPTcP,0,LL
0,12235124,CTsCTs,0,LL
1,12235124,CTsCTs,0,LL
2,12235124,CTsCTs,0,LL
3,12235124,CTsCTs,0,LL
0,12235124,PCTbP,0,LL
1,12235124,PCTbP,0,LL
2,12235124,PCTbP,0,LL
3,12235124,PCTbP,0,LL
0,12235124,PCTsP,0,LL
1,12235124,PCTsP,0,LL
2,12235124,PCTsP,0,LL
3,12235124,PCTsP,0,LL
0,12235124,PTb,0,LL
1,12235124,PTb,0,LL
2,12235124,PTb,0,LL
3,12235124,PTb,0,LL
0,12235124,PTsPC,0,LL
1,12235124,PTsPC,0,LL
2,12235124,PTsPC,0,LL
3,12235124,PTsPC,0,LL
0,12235124,TbCP,0,LL
1,12235124,TbCP,0,LL
2,12235124,TbCP,0,LL
3,12235124,TbCP,0,LL
0,12235124,TbP,0,LL
1,12235124,TbP,0,LL
2,12235124,TbP,0,LL
3,12235124,TbP,0,LL
0,12235124,TbPC,0,LL
1,12235124,TbPC,0,LL
2,12235124,TbPC,0,LL
3,12235124,TbPC,0,LL
0,12235124,TbPCP,0,LL
1,12235124,TbPCP,0,LL
2,12235124,TbPCP,0,LL
3,12235124,TbPCP,0,LL
0,12949120,CPCTs,0,LH
1,12949120,CPCTs,0,LH
2,12949120,CPCTs,0,LH
3,12949120,CPCTs,0,LH
0,12949120,CPTs,0,LH
1,12949120,CPTs,0,LH
2,12949120,CPTs,0,LH
3,12949120,CPTs,0,LH
0,12949120,CTbC,1,LH
1,12949120,CTbC,0,LH
2,12949120,CTbC,0,LH
3,12949120,CTbC,0,LH
0,12949120,CTbP,0,LH
1,12949120,CTbP,0,LH
2,12949120,CTbP,0,LH
3,12949120,CTbP,0,LH
0,12949120,CTbPC,0,LH
1,12949120,CTbPC,0,LH
2,12949120,CTbPC,0,LH
3,12949120,CTbPC,0,LH
0,12949120,CTcPTcP,0,LH
1,12949120,CTcPTcP,0,LH
2,12949120,CTcPTcP,0,LH
3,12949120,CTcPTcP,0,LH
0,12949120,CTsCTs,1,LH
1,12949120,CTsCTs,0,LH
2,12949120,CTsCTs,0,LH
3,12949120,CTsCTs,0,LH
0,12949120,PCTbP,0,LH
1,12949120,PCTbP,0,LH
2,12949120,PCTbP,0,LH
3,12949120,PCTbP,0,LH
0,12949120,PCTsP,1,LH
1,12949120,PCTsP,0,LH
2,12949120,PCTsP,0,LH
3,12949120,PCTsP,0,LH
0,12949120,PTb,0,LH
1,12949120,PTb,0,LH
2,12949120,PTb,0,LH
3,12949120,PTb,0,LH
0,12949120,PTsPC,1,LH
1,12949120,PTsPC,0,LH
2,12949120,PTsPC,0,LH
3,12949120,PTsPC,0,LH
0,12949120,TbCP,0,LH
1,12949120,TbCP,0,LH
2,12949120,TbCP,0,LH
3,12949120,TbCP,0,LH
0,12949120,TbP,0,LH
1,12949120,TbP,0,LH
2,12949120,TbP,0,LH
3,12949120,TbP,0,LH
0,12949120,TbPC,0,LH
1,12949120,TbPC,0,LH
2,12949120,TbPC,0,LH
3,12949120,TbPC,0,LH
0,12949120,TbPCP,0,LH
1,12949120,TbPCP,0,LH
2,12949120,TbPCP,0,LH
3,12949120,TbPCP,0,LH
0,13205111,CPCTs,0,HH
1,13205111,CPCTs,0,HH
2,13205111,CPCTs,0,HH
3,13205111,CPCTs,0,HH
0,13205111,CPTs,1,HH
1,13205111,CPTs,0,HH
2,13205111,CPTs,0,HH
3,13205111,CPTs,0,HH
0,13205111,CTbC,0,HH
1,13205111,CTbC,0,HH
2,13205111,CTbC,0,HH
3,13205111,CTbC,0,HH
0,13205111,CTbP,1,HH
1,13205111,CTbP,1,HH
2,13205111,CTbP,1,HH
3,13205111,CTbP,0,HH
0,13205111,CTbPC,0,HH
1,13205111,CTbPC,0,HH
2,13205111,CTbPC,1,HH
3,13205111,CTbPC,0,HH
